Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_State_Abrvtn,Prscrbr_Type,Tot_Clms,Tot_Benes,Tot_Drug_Cst,Tot_Day_Suply,Tot_30day_Fills,Brnd_Tot_Clms,Gnrc_Tot_Clms,Brnd_Tot_Drug_Cst,Gnrc_Tot_Drug_Cst,Opioid_Tot_Clms,Opioid_Tot_Drug_Cst,Opioid_Prscrbr_Rate,Antbtc_Tot_Clms,Bene_Avg_Age,Bene_Avg_Risk_Scre,_is_injected_anomaly
1000000000,Patel,Sofia,City_200,MO,Psychiatry,422,95,26584.94,16078,535.9,122,300,16908.53,9449.62,5,294.53,1.18,14,75.8,1.194,0
1000000001,Lee,Grace,City_330,PA,Physician Assistant,458,138,32143.94,18454,615.1,183,275,28255.79,9650.2,55,2554.85,12.01,52,72.7,1.039,0
1000000002,Nguyen,Maria,City_198,GA,Physician Assistant,674,192,33166.57,22557,751.9,105,569,11367.18,13999.83,27,550.31,4.01,20,74.1,1.345,0
1000000003,Patel,Grace,City_386,WA,Internal Medicine,957,185,55272.29,39841,1328.0,190,767,24141.92,22149.34,27,960.98,2.82,68,79.4,1.475,0
1000000004,Miller,Michael,City_127,MA,Internal Medicine,336,81,29129.75,14909,497.0,51,285,9727.26,12354.14,25,996.33,7.44,31,72.7,1.708,0
1000000005,Brown,Daniel,City_34,NJ,Physician Assistant,890,273,32479.08,34227,1140.9,176,714,14130.22,13028.12,40,1715.2,4.49,46,77.8,1.332,0
1000000006,Shah,Daniel,City_185,OH,Family Practice,1342,473,44068.46,53215,1773.8,101,1241,7296.58,20375.92,72,3299.06,5.37,156,79.0,1.381,0
1000000007,Nguyen,Daniel,City_394,MI,Physician Assistant,559,173,35244.53,16396,546.5,97,462,13454.71,14564.37,60,2657.34,10.73,51,54.1,1.366,0
1000000008,Miller,Linda,City_64,MI,Physician Assistant,1031,241,29904.04,42653,1421.8,275,756,17547.96,10963.85,9,433.01,0.87,105,76.7,1.205,0
1000000009,Johnson,Ahmed,City_157,PA,Nurse Practitioner,422,119,19767.06,15660,522.0,25,397,2576.28,9298.01,28,1670.35,6.64,12,80.0,1.059,0
1000000010,Wilson,Priya,City_34,NY,Internal Medicine,430,152,25659.83,15217,507.2,103,327,13522.13,9756.7,26,781.89,6.05,13,60.4,1.419,0
1000000011,Davis,Carlos,City_65,AZ,Internal Medicine,551,102,10118.93,18339,611.3,160,391,6464.36,3590.29,60,1598.18,10.89,35,71.7,1.21,0
1000000012,Patel,Maria,City_202,MI,Internal Medicine,283,68,10793.3,12630,421.0,97,186,8138.83,3546.91,21,1256.01,7.42,33,64.9,1.308,0
1000000013,Smith,Maria,City_83,NC,Nurse Practitioner,403,147,15565.52,10752,358.4,96,307,8157.41,5928.8,34,1484.07,8.44,11,73.1,0.882,0
1000000014,Anderson,Emily,City_399,PA,Cardiology,314,68,30956.9,13649,455.0,104,210,22557.13,10351.83,13,659.55,4.14,35,68.6,1.048,0
1000000015,Johnson,Ahmed,City_336,AZ,Cardiology,509,174,22759.35,17732,591.1,192,317,18887.13,7087.14,4,179.69,0.79,30,80.2,0.953,0
1000000016,Lee,Emily,City_245,WA,Neurology,629,167,52952.2,19758,658.6,171,458,31670.3,19278.3,21,936.11,3.34,73,73.8,1.783,0
1000000017,Miller,Priya,City_288,IN,Physician Assistant,1242,432,58563.26,38115,1270.5,379,863,39315.66,20346.25,147,3474.2,11.84,131,62.1,1.796,0
1000000018,Thomas,Raj,City_367,OH,Psychiatry,504,150,13569.56,20490,683.0,120,384,7107.87,5169.36,18,733.69,3.57,33,67.0,1.28,0
1000000019,Garcia,Susan,City_61,OH,Neurology,482,103,7106.71,19477,649.2,163,319,5287.27,2351.7,32,1778.4,6.64,27,67.9,0.887,0
1000000020,Garcia,Raj,City_154,AZ,Internal Medicine,1149,268,65199.45,37271,1242.4,261,888,32582.7,25194.57,64,3815.74,5.57,131,65.8,1.354,0
1000000021,Shah,Emily,City_274,NJ,Family Practice,1054,246,57567.33,29904,996.8,346,708,41575.19,19334.76,85,4111.11,8.06,113,65.9,1.041,0
1000000022,Brown,John,City_175,WI,Psychiatry,379,115,19535.52,10412,347.1,122,257,13834.65,6623.52,30,629.12,7.92,19,72.3,1.13,0
1000000023,Martinez,Linda,City_390,MA,Family Practice,352,118,24298.3,14881,496.0,75,277,11389.83,9560.55,19,973.18,5.4,32,68.1,1.11,0
1000000024,Garcia,Daniel,City_47,WI,Family Practice,433,166,31455.8,14251,475.0,117,316,18699.13,11478.1,23,1288.0,5.31,14,72.4,1.692,0
1000000025,Chen,Robert,City_230,MA,Cardiology,689,150,68773.77,27162,905.4,144,545,31621.96,27200.08,36,1499.86,5.22,20,57.1,1.149,0
1000000026,Johnson,Raj,City_81,MA,Nurse Practitioner,728,144,30979.43,28545,951.5,184,544,17225.92,11574.73,34,1796.86,4.67,58,74.8,1.529,0
1000000027,Anderson,Mary,City_131,MA,Dermatology,172,51,17192.01,5749,191.6,66,106,14513.26,5297.54,7,357.86,4.07,6,72.1,1.32,0
1000000028,Nguyen,Susan,City_61,PA,Oncology,599,109,79973.67,25367,845.6,313,286,91936.35,19092.21,0,0.0,0.0,23,66.5,0.637,0
1000000029,Patel,Ahmed,City_119,IL,Cardiology,468,138,31635.98,20187,672.9,122,346,18143.37,11694.5,22,894.59,4.7,23,72.2,1.36,0
1000000030,Brown,John,City_30,TX,Nurse Practitioner,1119,368,45888.88,30222,1007.4,213,906,19216.74,18577.0,109,2460.69,9.74,94,64.7,1.161,0
1000000031,Smith,Robert,City_93,MD,Internal Medicine,417,115,30717.27,17270,575.7,80,337,12964.6,12412.13,14,833.11,3.36,45,76.2,1.504,0
1000000032,Cohen,Emily,City_230,MI,Family Practice,221,75,4255.03,8190,273.0,56,165,2372.03,1588.42,16,838.82,7.24,17,74.0,1.188,0
1000000033,Davis,Maria,City_201,WA,Internal Medicine,1013,255,66957.93,29085,969.5,106,907,15414.2,29975.74,28,1385.1,2.76,46,74.5,1.609,0
1000000034,Khan,Linda,City_374,FL,Endocrinology,1606,483,117448.52,45987,1532.9,967,639,155579.07,23365.38,45,1796.37,2.8,191,63.5,0.909,0
1000000035,Cohen,Sofia,City_297,NC,Internal Medicine,2126,567,139133.78,91699,3056.6,401,1725,57734.63,56445.38,209,5362.38,9.83,143,76.7,1.529,0
1000000036,Garcia,Maria,City_381,IL,Nurse Practitioner,477,132,18788.49,17937,597.9,75,402,6499.16,7917.16,33,941.43,6.92,57,72.8,1.406,0
1000000037,Davis,Mary,City_324,MA,Family Practice,656,224,31589.97,19224,640.8,151,505,15997.24,12159.25,43,1782.44,6.55,14,70.0,1.14,0
1000000038,Brown,James,City_262,NY,Physician Assistant,511,169,10940.84,14031,467.7,66,445,3108.83,4763.87,47,968.35,9.2,40,69.6,1.401,0
1000000039,Martinez,Daniel,City_101,WA,Family Practice,253,74,42632.84,9405,313.5,72,181,26691.87,2085.79,20,894.83,7.91,9,69.6,0.935,1
1000000040,Wilson,Susan,City_106,TN,Internal Medicine,1145,400,62862.89,38988,1299.6,169,976,20412.59,26792.22,127,3511.8,11.09,39,69.1,1.232,0
1000000041,Lopez,Mary,City_331,MI,Physician Assistant,3369,1256,193587.96,126632,4221.1,378,2991,47785.02,85933.75,370,12993.33,10.98,204,74.5,1.524,0
1000000042,Johnson,Michael,City_190,NC,Cardiology,1121,349,79841.22,42865,1428.8,289,832,45283.72,29628.86,0,0.0,0.0,74,73.5,1.259,0
1000000043,Smith,Robert,City_318,PA,Physician Assistant,362,117,13557.42,9260,308.7,46,316,3790.08,5917.33,29,1025.91,8.01,11,61.2,1.249,0
1000000044,Lopez,Wei,City_7,MI,Oncology,1002,330,125651.83,26742,891.4,574,428,158356.42,26835.82,62,2605.85,6.19,38,72.9,1.206,0
1000000045,Chen,Raj,City_131,NJ,Pain Management,676,224,77262.39,24930,831.0,140,536,35202.39,30630.65,225,12637.11,33.28,43,71.7,0.913,0
1000000046,Lee,Grace,City_73,MD,Family Practice,1181,286,38247.55,41852,1395.1,187,994,13323.49,16095.71,66,1934.44,5.59,108,70.6,2.029,0
1000000047,Khan,Grace,City_234,NC,Cardiology,369,94,43870.27,9362,312.1,88,281,23017.03,16703.99,19,1125.05,5.15,28,61.9,1.334,0
1000000048,Wilson,Omar,City_156,OH,Cardiology,290,106,16310.13,12975,432.5,69,221,8537.51,6214.72,20,1113.32,6.9,15,66.8,1.524,0
1000000049,Rao,Robert,City_165,TN,Physician Assistant,325,97,10940.54,11388,379.6,60,265,4443.54,4460.38,37,1207.41,11.38,21,59.8,1.231,0
1000000050,Khan,Wei,City_108,TN,Nurse Practitioner,846,152,47322.07,24653,821.8,235,611,28919.04,17088.53,62,3136.01,7.33,75,66.5,1.927,0
1000000051,Lopez,Emily,City_361,TN,Psychiatry,148,38,3410.6,5749,191.6,27,121,1368.85,1394.2,4,106.06,2.7,4,74.3,0.63,0
1000000052,Davis,Priya,City_364,TN,Family Practice,136,32,8189.26,3577,119.2,29,107,3841.73,3221.51,5,201.09,3.68,12,66.9,1.506,0
1000000053,Khan,Ahmed,City_11,VA,Nurse Practitioner,405,88,29890.08,14726,490.9,123,282,19971.0,10406.18,36,843.34,8.89,39,82.3,1.454,0
1000000054,Smith,Mary,City_367,PA,Internal Medicine,694,216,50405.62,24894,829.8,210,484,33555.33,17576.6,39,2131.49,5.62,32,68.9,1.467,0
1000000055,Johnson,David,City_157,PA,Family Practice,849,277,38387.14,24530,817.7,110,739,10941.92,16706.77,0,0.0,0.0,36,67.7,0.95,0
1000000056,Johnson,David,City_51,OH,Physician Assistant,461,106,25729.66,13351,445.0,118,343,14488.98,9571.88,6,313.44,1.3,39,72.6,0.508,0
1000000057,Martinez,Michael,City_224,TX,Nurse Practitioner,324,113,24016.49,12815,427.2,72,252,11741.39,9339.74,26,835.33,8.02,32,70.9,0.942,0
1000000058,Cohen,Michael,City_125,NY,Neurology,1028,284,111581.47,41390,1379.7,512,516,122262.03,28003.91,2,82.47,0.19,50,75.6,1.514,0
1000000059,Garcia,Maria,City_393,MA,Psychiatry,596,146,3597.12,21214,707.1,112,484,1487.13,1460.58,1,31.92,0.17,54,73.4,0.855,0
1000000060,Miller,Robert,City_16,NY,Psychiatry,195,38,10114.82,7724,257.5,62,133,7075.19,3449.41,7,229.61,3.59,17,84.4,0.77,0
1000000061,Brown,Wei,City_381,NY,Oncology,607,138,83005.68,18582,619.4,368,239,110710.7,16341.32,47,1014.58,7.74,72,68.5,1.447,0
1000000062,Lee,Linda,City_137,TX,Rheumatology,336,120,58763.19,8915,297.2,212,124,81568.91,10843.21,14,461.69,4.17,15,75.9,0.988,0
1000000063,Johnson,Carlos,City_231,MA,Family Practice,241,46,6261.59,8105,270.2,54,187,3086.62,2429.29,3,177.5,1.24,14,68.7,1.597,0
1000000064,Lopez,Sofia,City_126,NJ,Nurse Practitioner,629,220,26661.3,23785,792.8,148,481,13801.14,10194.03,83,2138.54,13.2,59,68.1,0.944,0
1000000065,Davis,Michael,City_333,PA,Internal Medicine,1044,193,83422.34,33291,1109.7,136,908,23908.01,36277.53,37,2084.46,3.54,75,66.3,1.393,0
1000000066,Nguyen,Emily,City_356,NJ,Nurse Practitioner,180,70,11289.97,4616,153.9,47,133,6485.46,4171.02,12,714.41,6.67,10,69.8,0.546,0
1000000067,Patel,Anna,City_136,GA,Family Practice,466,184,32539.72,13958,465.3,81,385,12443.3,13441.84,24,1131.96,5.15,24,66.3,0.489,0
1000000068,Brown,Susan,City_275,VA,Neurology,712,212,50274.8,18301,610.0,297,415,46137.02,14651.72,3,75.67,0.42,34,70.1,1.348,0
1000000069,Brown,James,City_42,GA,Internal Medicine,1871,549,104782.94,54320,1810.7,198,1673,24395.22,46847.1,57,3224.89,3.05,158,74.5,1.057,0
1000000070,Garcia,Maria,City_289,AZ,Rheumatology,302,109,116416.97,7556,251.9,199,103,168766.06,19852.56,11,617.96,3.64,18,68.3,1.954,0
1000000071,Smith,Grace,City_154,CA,Internal Medicine,716,224,49654.98,30505,1016.8,268,448,40889.07,15534.52,46,1994.56,6.42,21,74.4,1.723,0
1000000072,Patel,Wei,City_63,NC,Physician Assistant,486,88,16545.45,18431,614.4,171,315,12807.4,5361.95,56,2443.08,11.52,44,61.3,0.838,0
1000000073,Cohen,David,City_84,NY,Rheumatology,1833,610,261468.33,74861,2495.4,1064,769,333903.48,54847.01,54,2902.58,2.95,81,70.9,1.151,0
1000000074,Smith,Daniel,City_345,WA,Family Practice,1253,238,59636.56,52477,1749.2,256,997,26805.52,23726.12,4,174.89,0.32,150,65.0,1.086,0
1000000075,Martinez,Susan,City_123,AZ,Physician Assistant,1124,312,40259.54,34716,1157.2,239,885,18833.15,15849.51,75,3204.62,6.67,92,68.9,1.165,0
1000000076,Lee,James,City_70,GA,Dermatology,424,116,38896.25,18867,628.9,154,270,31080.31,12384.42,0,0.0,0.0,47,75.0,1.32,0
1000000077,Brown,Mary,City_220,PA,Physician Assistant,2050,778,180527.44,66711,2223.7,227,1823,43978.25,80268.67,130,6015.83,6.34,178,80.1,0.906,0
1000000078,Lopez,Ahmed,City_364,MA,Psychiatry,722,279,53740.61,26215,873.8,336,386,55020.86,14365.56,54,1672.19,7.48,37,67.0,1.291,0
1000000079,Khan,David,City_133,IL,Family Practice,322,121,7679.4,9093,303.1,51,271,2675.87,3231.55,21,441.34,6.52,13,71.9,0.955,0
1000000080,Smith,Linda,City_380,MO,Internal Medicine,197,38,12037.77,6427,214.2,36,161,4839.55,4918.99,0,0.0,0.0,6,76.2,0.713,0
1000000081,Shah,Ahmed,City_197,PA,Dermatology,655,230,8817.58,16543,551.4,210,445,6219.42,2995.29,0,0.0,0.0,65,68.2,0.556,0
1000000082,Thomas,John,City_25,NJ,Cardiology,419,103,57075.06,13368,445.6,107,312,32065.56,21249.9,6,269.19,1.43,25,82.6,0.865,0
1000000083,Khan,Daniel,City_292,TX,Internal Medicine,980,347,50642.12,36236,1207.9,143,837,16257.15,21626.25,88,4140.02,8.98,106,73.2,0.68,0
